client_id,age,job,marital,education,account_id,in_default,balance,housing,loan,contact,campaign_id_x,day,month,duration,campaign,pdays,previous,outcome_id,poutcome,y,day_range,age_category,balance_category,duration_category,campaign_category,pdays_category,previous_category,probability_yes,MinMax_balance,index_probability
6494959,84,retired,married,secondary,43394,no,81204.0,no,no,telephone,43394,1,apr,390,1,94,3,43394,success,unknown,Early Month,Senior,Ultra High,Moderate,Few,Recent,Many,0.83464736,0.8100430337915131,0.6761002775860757
6913727,60,retired,married,primary,41694,no,71188.0,no,no,cellular,41694,6,oct,205,1,-1,0,41694,unknown,no,Early Month,Senior,Ultra High,Moderate,Few,Recent,Few,0.70465505,0.7191091823579613,0.506723917735408
7456841,84,retired,married,secondary,42559,no,81204.0,no,no,telephone,42559,28,dec,679,1,313,2,42559,other,unknown,Late Month,Senior,Ultra High,Long,Few,Distant,Few,0.5903507,0.8100430337915131,0.47820946190649555
6131459,61,self-employed,divorced,tertiary,43054,no,52587.0,no,no,cellular,43054,15,feb,394,3,189,1,43054,success,unknown,Mid Month,Senior,Ultra High,Moderate,Moderate,Distant,Few,0.8356321,0.5502333266755034,0.4597926224466177
7922464,75,retired,divorced,primary,42991,no,37127.0,no,no,cellular,42991,11,feb,505,1,-1,0,42991,unknown,unknown,Mid Month,Senior,Ultra High,Long,Few,Recent,Few,0.81783277,0.4098741670146896,0.33520852452632033
5802185,56,management,divorced,tertiary,19786,no,66721.0,no,no,cellular,19786,8,aug,442,2,-1,0,19786,unknown,unknown,Early Month,Middle-aged,Ultra High,Moderate,Few,Recent,Few,0.48645303,0.6785539193434169,0.3300846077305204
3597519,61,self-employed,divorced,tertiary,40764,no,52587.0,no,no,cellular,40764,10,aug,290,1,-1,0,40764,unknown,unknown,Early Month,Senior,Ultra High,Moderate,Few,Recent,Few,0.55440617,0.5502333266755034,0.3050527490897723
7813124,29,management,single,tertiary,34171,no,36252.0,yes,no,cellular,34171,30,apr,501,1,-1,0,34171,unknown,unknown,Late Month,Young Adult,Ultra High,Long,Few,Recent,Few,0.6970412,0.4019301654168104,0.2801618902493815
1674993,32,technician,single,tertiary,20738,no,34646.0,no,no,telephone,20738,13,aug,618,9,-1,0,20738,unknown,unknown,Mid Month,Adult,Ultra High,Long,Moderate,Recent,Few,0.6942783,0.38734951791258876,0.2689283647279951
4526884,39,technician,single,unknown,447,no,45248.0,yes,no,unknown,447,6,may,1623,1,-1,0,447,unknown,unknown,Early Month,Adult,Ultra High,Very Long,Few,Recent,Few,0.54947233,0.4836035807019774,0.26572678725221993
7579998,48,management,married,secondary,34163,no,36686.0,no,no,cellular,34163,30,apr,295,1,-1,0,34163,unknown,unknown,Late Month,Middle-aged,Ultra High,Moderate,Few,Recent,Few,0.6342642,0.4058703902093585,0.25742904662971217
3879096,42,management,married,tertiary,44522,no,27696.0,no,no,cellular,44522,11,aug,370,1,91,7,44522,success,unknown,Mid Month,Middle-aged,Ultra High,Moderate,Few,Recent,Many,0.7869251,0.32425144807800554,0.2551615958882831
6143761,61,retired,married,tertiary,31223,no,32685.0,no,no,cellular,31223,2,mar,1447,2,-1,0,31223,unknown,unknown,Early Month,Senior,Ultra High,Very Long,Few,Recent,Few,0.6594863,0.3695458754743704,0.24371043980298027
2726243,55,entrepreneur,married,secondary,39962,no,27624.0,no,no,telephone,39962,3,jun,437,1,-1,0,39962,unknown,unknown,Early Month,Middle-aged,Ultra High,Moderate,Few,Recent,Few,0.74683475,0.32359777023223724,0.24167406143176842
5132351,74,retired,divorced,primary,44051,no,29080.0,no,no,cellular,44051,30,jun,301,5,93,4,44051,other,unknown,Late Month,Senior,Ultra High,Moderate,Moderate,Recent,Many,0.71732515,0.33681658889110816,0.24160701047438432
